bid_time,bid_price,bidder_email,seller_email,book_ISBN,listing_start_time
1446367232,95.74,Jonna.Mantooth@duke.edu,Diane.Fang@duke.edu,26515628,1446347523
1446426626,77.03,Krystyna.Sarvis@duke.edu,Nakita.Berrios@duke.edu,30020786,1446362438
1446426627,90.65,Tiffaney.Alanis@duke.edu,Ramon.Lige@duke.edu,30350840,1446267731
1446434820,71.78,Agueda.Tovar@duke.edu,Kendrick.Waterfield@duke.edu,70109109,1446281210
1446541320,122.4,Setsuko.Gurney@duke.edu,Becky.Ayer@duke.edu,70311366,1446483518
1446362744,37.47,Wilbur.Noe@duke.edu,Lakia.Daniell@duke.edu,70350485,1446338745
1446588428,86.71,Silvia.Neblett@duke.edu,Kendall.Matos@duke.edu,007035958X,1446555324
1446404098,142.39,Wan.Catoe@duke.edu,Skye.Peugh@duke.edu,70393605,1446299155
1446590485,110.72,Herta.Meltzer@duke.edu,Lakeisha.Korhonen@duke.edu,70418780,1446570137
1446551576,60.03,Amee.Flinchbaugh@duke.edu,Lane.Mcilvain@duke.edu,007054235X,1446396781
1446469657,65.51,Jamal.Abernathy@duke.edu,Deloras.Modisette@duke.edu,72294337,1446459686
1446539290,47.19,Laurena.Cummings@duke.edu,Vernita.Lopinto@duke.edu,72299908,1446433774
1446391836,87.2,Carmel.Cottle@duke.edu,Tatiana.Hollabaugh@duke.edu,007231592X,1446332776
1446465565,132.85,Trudy.Gondek@duke.edu,Soon.Kennell@duke.edu,72321113,1446432287
1446529058,152.55,Jerilyn.Vessels@duke.edu,Doretta.Westergard@duke.edu,72339705,1446430552
1446461476,143.29,Mac.Fraga@duke.edu,Abbie.Hagerman@duke.edu,72345535,1446327652
1446371372,112.57,Elaine.Redrick@duke.edu,Lakiesha.Rome@duke.edu,72348984,1446288001
1446395951,80.11,Marie.Helstrom@duke.edu,Tena.Goosby@duke.edu,72350539,1446239266
1446492211,28.39,Libbie.Lozoya@duke.edu,Bertram.Lafond@duke.edu,72380322,1446455916
1446477884,103,Jerrod.Mui@duke.edu,Linh.Rask@duke.edu,72385790,1446474534
1446398017,90.27,Pamela.Lewey@duke.edu,Nicolas.Bolduc@duke.edu,72392665,1446306848
1446477890,78.98,Norman.Meggs@duke.edu,Alaine.Mackey@duke.edu,72398876,1446377638
1446389833,47.49,Julian.Rowse@duke.edu,Elina.Hong@duke.edu,72402318,1446334068
1446543373,79.06,Natisha.Bellman@duke.edu,Sabine.Sowa@duke.edu,72406550,1446390518
1446494291,105.34,Cecily.Mattos@duke.edu,Georgia.Necessary@duke.edu,72431881,1446325770
1446586456,34.65,Arnold.Leppert@duke.edu,Evangeline.Gokey@duke.edu,72432020,1446483311
1446369371,34.33,Catalina.Pardue@duke.edu,Judy.Shahan@duke.edu,72437316,1446286099
1446402142,42.27,Maudie.Hageman@duke.edu,Shira.Shumake@duke.edu,72448482,1446334085
1446461536,46.25,Christin.Chumbley@duke.edu,Faustino.Delima@duke.edu,72452692,1446405366
1446393958,102.35,Matthew.Tschetter@duke.edu,Ethan.Southwood@duke.edu,72460539,1446230101
1446357096,45.32,Arielle.Blais@duke.edu,Carlotta.Schweitzer@duke.edu,007246352X,1446313637
1446412394,40.34,John.Schoonover@duke.edu,Amie.Cheesman@duke.edu,007246464X,1446338807
1446447217,50.13,Dianna.Eichelberger@duke.edu,Alix.Bixby@duke.edu,72465239,1446293027
1446570103,126.11,Paula.Kaiser@duke.edu,Migdalia.Sprvill@duke.edu,72465638,1446405641
