start_time,seller_email,book_ISBN,is_auction,is_buy_it_now,condition,description,start_price,buy_it_now_price,title,current_bid
1446347523,Diane.Fang@duke.edu,26515628,1,1,New,,92.49,112.49, Health:  A Guide to Wellness,95.74
1446362438,Nakita.Berrios@duke.edu,30020786,1,1,New,,72.09,92.09, Principles of Instrumental Analysis,77.03
1446267731,Ramon.Lige@duke.edu,30350840,1,1,New,,89.25,109.25, Business Research Methods With Infotrac,90.65
1446281210,Kendrick.Waterfield@duke.edu,70109109,1,1,New,,67.04,87.04, Fundamental Methods of Mathematical Economics,71.78
1446483518,Becky.Ayer@duke.edu,70311366,1,1,New,,117.65,137.65, Introduction to Manufacturing Processes,122.4
1446338745,Lakia.Daniell@duke.edu,70350485,1,1,New,,34.43,54.43, An Introduction to Mechanics,37.47
1446555324,Kendall.Matos@duke.edu,007035958X,1,1,New,,85.92,105.92, Power System Stability and Control,86.71
1446299155,Skye.Peugh@duke.edu,70393605,1,1,New,,138.18,158.18, Project Management for Engineering and Construction,142.39
1446570137,Lakeisha.Korhonen@duke.edu,70418780,1,1,New,,107.56,127.56, Wastewater Engineering:  Treatment and Reuse,110.72
1446396781,Lane.Mcilvain@duke.edu,007054235X,1,1,New,,57.68,77.68, Principles of Mathematical Analysis,60.03
1446459686,Deloras.Modisette@duke.edu,72294337,1,1,New,,60.52,80.52, Financial Markets and Corporate Strategy,65.51
1446433774,Vernita.Lopinto@duke.edu,72299908,1,1,New,,45.78,65.78, Manufacturing Planning and Control for Supply Chain Management,47.19
1446332776,Tatiana.Hollabaugh@duke.edu,007231592X,1,1,New,,85.36,105.36, Biochemistry:  The Molecular Basis of Life,87.2
1446432287,Soon.Kennell@duke.edu,72321113,1,1,New,,129.84,149.84, Digital Communications,132.85
1446430552,Doretta.Westergard@duke.edu,72339705,1,1,New,For ECON673,149.64,169.64, Risk Management and Insurance,152.55
1446327652,Abbie.Hagerman@duke.edu,72345535,1,1,New,,141.55,161.55, Environmental Biotechnology:  Principles and Applications,143.29
1446288001,Lakiesha.Rome@duke.edu,72348984,1,1,New,,110.08,130.08, Gerald D. Schmidt & Larry S. Roberts' Foundations of Parasitology,112.57
1446239266,Tena.Goosby@duke.edu,72350539,1,1,New,,78.8,98.8, Principles of Environmental Engineering and Science,80.11
1446455916,Bertram.Lafond@duke.edu,72380322,1,1,New,,24.94,44.94, Design of Analog Cmos Integrated Circuits,28.39
1446474534,Linh.Rask@duke.edu,72385790,1,1,New,,102.84,122.84, An Introduction to Biological Evolution,103
1446306848,Nicolas.Bolduc@duke.edu,72392665,1,1,New,,88.17,108.17, Plant Design and Economics for Chemical Engineers,90.27
1446377638,Alaine.Mackey@duke.edu,72398876,1,1,New,,76.34,96.34, Management of a Sales Force,78.98
1446334068,Elina.Hong@duke.edu,72402318,1,1,New,,43.44,63.44, Viscious Fluid Flow,47.49
1446390518,Sabine.Sowa@duke.edu,72406550,1,1,New,,78.59,98.59, Heat Transfer,79.06
1446325770,Georgia.Necessary@duke.edu,72431881,1,1,New,,104.27,124.27, Introduction to Transportation Engineering,105.34
1446483311,Evangeline.Gokey@duke.edu,72432020,1,1,New,,31.05,51.05, Fluid Mechanics With Engineering Applications,34.65
1446286099,Judy.Shahan@duke.edu,72437316,1,1,New,,32.03,52.03, Biology,34.33
1446334085,Shira.Shumake@duke.edu,72448482,1,1,New,,39.4,59.4, Concepts of Modern Physics,42.27
