email	name	phone_Number	major
Grace.Carpenter@duke.edu	Grace Carpenter	(999) 222-5021	African and African American Studies
Lana.Creamer@duke.edu	Lana Creamer	(998) 858-3639	Art History
Marsha.Decker@duke.edu	Marsha Decker	(998) 791-7792	Asian and Middle Eastern Studies
Jo.Dick@duke.edu	Jo Dick	(997) 908-4553	Biology
Rosemary.Gest@duke.edu	Rosemary Gest	(996) 762-1335	Biomedical Engineering*
Cindy.Hayes@duke.edu	Cindy Hayes	(996) 647-6252	Biophysics
Paula.Kaiser@duke.edu	Paula Kaiser	(996) 553-1608	Brazilian and Global Portuguese Studies
Kim.Nymeyer@duke.edu	Kim Nymeyer	(996) 538-8232	Canadian Studies**
Christina.Reisinger@duke.edu	Christina Reisinger	(996) 235-1996	Chemistry
John.Schoonover@duke.edu	John Schoonover	(995) 159-2716	Civil Engineering*
Kathy.Shreiner@duke.edu	Kathy Shreiner	(994) 902-6165	Classical Civilization
Mary.Jane@duke.edu	Mary Jane Treadway	(994) 364-1167	Classical Languages
Matthew.Tschetter@duke.edu	Matthew Tschetter	(992) 763-4870	Computer Science
Angela.Wireman@duke.edu	Angela Wireman	(992) 717-1578	Cultural Anthropology
Linda.Yoder@duke.edu	Linda Yoder	(991) 759-4593	Dance
Nolan.Putt@duke.edu	Nolan Putt 	(991) 382-7490	Earth and Ocean Sciences
Julio.Searls@duke.edu	Julio Searls 	(990) 856-4815	Economics
Jannette.Twilley@duke.edu	Jannette Twilley 	(990) 351-8338	Electrical and Computer Engineering*
Trista.Rumph@duke.edu	Trista Rumph 	(992) 362-6134	English
Carlotta.Meggs@duke.edu	Carlotta Meggs 	(991) 255-8351	Environmental Engineering*
Ellie.Swedberg@duke.edu	Ellie Swedberg 	(988) 375-6554	Environmental Sciences
Shin.Winkel@duke.edu	Shin Winkel 	(988) 362-9341	Environmental Sciences and Policy
Gordon.Gokey@duke.edu	Gordon Gokey 	(986) 153-4142	Evolutionary Anthropology
Loan.Krob@duke.edu	Loan Krob 	(984) 349-4714	French Studies
Brittany.Zenz@duke.edu	Brittany Zenz 	(982) 632-1051	German
Tana.Fill@duke.edu	Tana Fill 	(982) 511-7756	Global Cultural Studies
Oralia.Marshburn@duke.edu	Oralia Marshburn 	(982) 392-3240	Global Health**
Estrella.Topham@duke.edu	Estrella Topham 	(981) 338-2588	History
Lita.Broadway@duke.edu	Lita Broadway 	(980) 707-1265	Interdepartmental Major
Julee.Sykora@duke.edu	Julee Sykora 	(982) 843-7955	International Comparative Studies
Maudie.Hageman@duke.edu	Maudie Hageman 	(982) 616-9802	Italian Studies
Arnold.Leppert@duke.edu	Arnold Leppert 	(981) 210-9363	Linguistics
Janice.Glasco@duke.edu	Janice Glasco 	(979) 236-3276	Mathematics
Karma.Lettieri@duke.edu	Karma Lettieri 	(978) 259-4673	Mechanical Engineering*
Ken.Knipp@duke.edu	Ken Knipp 	(977) 372-3468	Medieval and Renaissance Studies
Tyler.Pedrick@duke.edu	Tyler Pedrick 	(977) 185-9902	Music
Chin.Maxon@duke.edu	Chin Maxon 	(976) 705-5634	Neuroscience
Natisha.Bellman@duke.edu	Natisha Bellman 	(976) 445-9862	Philosophy
Lola.Soria@duke.edu	Lola Soria 	(976) 308-4757	Physics
Claretha.Haith@duke.edu	Claretha Haith 	(975) 688-3371	Political Science
Patti.Prigge@duke.edu	Patti Prigge 	(974) 891-3047	"Program II (self-designed degree, BA or BS)"
Dorie.Hollingsworth@duke.edu	Dorie Hollingsworth 	(974) 384-7824	Psychology
Ria.Dejulio@duke.edu	Ria Dejulio 	(972) 442-8127	Public Policy Studies
Marceline.Pitter@duke.edu	Marceline Pitter 	(972) 126-6680	Religious Studies
Zofia.Threatt@duke.edu	Zofia Threatt 	(971) 207-6704	Romance Studies
Tesha.Torrain@duke.edu	Tesha Torrain 	(971) 200-2559	Russian
Breana.Runkle@duke.edu	Breana Runkle 	(971) 171-2443	Slavic and Eurasian Studies
Minna.Boaz@duke.edu	Minna Boaz 	(927) 922-5753	Sociology
Reanna.Morman@duke.edu	Reanna Morman 	(927) 578-8972	"Spanish, Latin American, and Latino/a Studies"
Anderson.Croney@duke.edu	Anderson Croney 	(968) 459-7683	Statistical Science
Olympia.Enciso@duke.edu	Olympia Enciso 	(964) 772-4175	Theater Studies
Bev.Zeman@duke.edu	Bev Zeman 	(964) 545-2244	Visual Arts
Malka.Elie@duke.edu	Malka Elie 	(963) 950-7099	Visual and Media Studies
Charlena.Regina@duke.edu	Charlena Regina 	(963) 118-1740	Women's Studies
Gerardo.Finamore@duke.edu	Gerardo Finamore 	(962) 423-2517	African and African American Studies
Dane.Konrad@duke.edu	Dane Konrad 	(961) 423-4962	Art History
Rhona.Hansen@duke.edu	Rhona Hansen 	(961) 206-2035	Asian and Middle Eastern Studies
Denna.Moctezuma@duke.edu	Denna Moctezuma 	(959) 856-5453	Biology
Isaias.Edge@duke.edu	Isaias Edge 	(959) 837-1481	Biomedical Engineering*
Anastasia.Linnell@duke.edu	Anastasia Linnell 	(958) 820-5356	Biophysics
Deane.Estabrook@duke.edu	Deane Estabrook 	(958) 772-8250	Brazilian and Global Portuguese Studies
Dayna.Kull@duke.edu	Dayna Kull 	(958) 388-9777	Canadian Studies**
Mabel.Pitman@duke.edu	Mabel Pitman 	(957) 770-1062	Chemistry
Lucille.Taggert@duke.edu	Lucille Taggert 	(956) 332-3900	Civil Engineering*
Alessandra.Carbone@duke.edu	Alessandra Carbone 	(955) 660-4331	Classical Civilization
Desiree.Christman@duke.edu	Desiree Christman 	(955) 419-8689	Classical Languages
Rochell.Maxey@duke.edu	Rochell Maxey 	(954) 192-2214	Computer Science
Adrienne.Paniagua@duke.edu	Adrienne Paniagua 	(953) 969-5416	Cultural Anthropology
Clarine.Summerfield@duke.edu	Clarine Summerfield 	(949) 762-3391	Dance
Britni.Larochelle@duke.edu	Britni Larochelle 	(948) 249-4054	Earth and Ocean Sciences
Margit.Ton@duke.edu	Margit Ton 	(948) 135-2798	Economics
Kaci.Baylis@duke.edu	Kaci Baylis 	(946) 827-4779	Electrical and Computer Engineering*
Tawanda.Loza@duke.edu	Tawanda Loza 	(945) 771-6597	English
Lean.Lazarus@duke.edu	Lean Lazarus 	(945) 533-2639	Environmental Engineering*
Geri.Kluth@duke.edu	Geri Kluth 	(945) 514-3865	Environmental Sciences
Milda.Brant@duke.edu	Milda Brant 	(945) 161-3848	Environmental Sciences and Policy
Dara.Pressler@duke.edu	Dara Pressler 	(944) 837-8762	Evolutionary Anthropology
Pamela.Lewey@duke.edu	Pamela Lewey 	(944) 677-9300	French Studies
Libbie.Lozoya@duke.edu	Libbie Lozoya 	(942) 822-9091	German
Jenna.Moulden@duke.edu	Jenna Moulden 	(941) 911-3182	Global Cultural Studies
Yoshiko.Ulery@duke.edu	Yoshiko Ulery 	(941) 792-3223	Global Health**
Dawna.Bost@duke.edu	Dawna Bost 	(939) 454-1739	History
Dallas.Boelter@duke.edu	Dallas Boelter 	(939) 371-7443	Interdepartmental Major
Pearline.Bosak@duke.edu	Pearline Bosak 	(939) 153-4525	International Comparative Studies
Lissette.Keithley@duke.edu	Lissette Keithley 	(938) 994-4713	Italian Studies
April.Capers@duke.edu	April Capers 	(938) 795-9415	Linguistics
Marie.Helstrom@duke.edu	Marie Helstrom 	(938) 761-8846	Mathematics
Adeline.Satcher@duke.edu	Adeline Satcher 	(938) 735-6313	Mechanical Engineering*
Audria.Wurster@duke.edu	Audria Wurster 	(937) 881-5990	Medieval and Renaissance Studies
Jerilyn.Vessels@duke.edu	Jerilyn Vessels 	(936) 199-9367	Music
Kiera.Molinari@duke.edu	Kiera Molinari 	(935) 841-7616	Neuroscience
Angelic.Direnzo@duke.edu	Angelic Direnzo 	(934) 520-9639	Philosophy
Shakia.Breese@duke.edu	Shakia Breese 	(934) 513-2469	Physics
Shae.Tenorio@duke.edu	Shae Tenorio 	(934) 377-1139	Political Science
Magen.Petrus@duke.edu	Magen Petrus 	(930) 401-9819	"Program II (self-designed degree, BA or BS)"
Madonna.Olea@duke.edu	Madonna Olea 	(930) 200-8561	Psychology
Rodger.Goodloe@duke.edu	Rodger Goodloe 	(930) 444-2269	Public Policy Studies
Sharon.Schuch@duke.edu	Sharon Schuch 	(929) 911-5959	Religious Studies
Dolly.Brainard@duke.edu	Dolly Brainard 	(925) 693-6278	Romance Studies
Inger.Calnan@duke.edu	Inger Calnan 	(925) 302-2755	Russian
Terri.Canaday@duke.edu	Terri Canaday 	(924) 887-2469	Slavic and Eurasian Studies
Alyce.Tunney@duke.edu	Alyce Tunney 	(924) 129-4258	Sociology
Claretta.Sherman@duke.edu	Claretta Sherman 	(923) 924-9951	"Spanish, Latin American, and Latino/a Studies"
Everette.Fishel@duke.edu	Everette Fishel 	(923) 384-4948	Statistical Science
Lynne.Starr@duke.edu	Lynne Starr 	(922) 733-9498	Theater Studies
Kip.Shawgo@duke.edu	Kip Shawgo 	(922) 181-8499	Visual Arts
Jovita.Bowersox@duke.edu	Jovita Bowersox 	(919) 547-6281	Visual and Media Studies
Emely.Theroux@duke.edu	Emely Theroux 	(919) 305-3685	Women's Studies
Robt.Hodes@duke.edu	Robt Hodes 	(918) 591-1038	African and African American Studies
