start_time	seller_email	book_ISBN	is_auction	is_buy_it_now	condition	description	start_price	buy_it_now_price	title																			
1446347523	Diane.Fang@duke.edu	26515628	1	1	New		92.49	112.49	 Health:  A Guide to Wellness																			
1446362438	Nakita.Berrios@duke.edu	30020786	1	1	New		72.09	92.09	 Principles of Instrumental Analysis																			
1446267731	Ramon.Lige@duke.edu	30350840	1	1	New		89.25	109.25	 Business Research Methods With Infotrac																			
1446281210	Kendrick.Waterfield@duke.edu	70109109	1	1	New		67.04	87.04	 Fundamental Methods of Mathematical Economics																			
1446483518	Becky.Ayer@duke.edu	70311366	1	1	New		117.65	137.65	 Introduction to Manufacturing Processes																			
1446338745	Lakia.Daniell@duke.edu	70350485	1	1	New		34.43	54.43	 An Introduction to Mechanics																			
1446555324	Kendall.Matos@duke.edu	007035958X	1	1	New		85.92	105.92	 Power System Stability and Control																			
1446299155	Skye.Peugh@duke.edu	70393605	1	1	New		138.18	158.18	 Project Management for Engineering and Construction																			
1446570137	Lakeisha.Korhonen@duke.edu	70418780	1	1	New		107.56	127.56	 Wastewater Engineering:  Treatment and Reuse																			
1446396781	Lane.Mcilvain@duke.edu	007054235X	1	1	New		57.68	77.68	 Principles of Mathematical Analysis																			
1446459686	Deloras.Modisette@duke.edu	72294337	1	1	New		60.52	80.52	 Financial Markets and Corporate Strategy																			
1446433774	Vernita.Lopinto@duke.edu	72299908	1	1	New		45.78	65.78	 Manufacturing Planning and Control for Supply Chain Management																			
1446332776	Tatiana.Hollabaugh@duke.edu	007231592X	1	1	New		85.36	105.36	 Biochemistry:  The Molecular Basis of Life																			
1446432287	Soon.Kennell@duke.edu	72321113	1	1	New		129.84	149.84	 Digital Communications																			
1446430552	Doretta.Westergard@duke.edu	72339705	1	1	New	For ECON673	149.64	169.64	 Risk Management and Insurance																			
1446327652	Abbie.Hagerman@duke.edu	72345535	1	1	New		141.55	161.55	 Environmental Biotechnology:  Principles and Applications																			
